regex,url demo,url名称,是否301
 '^/friendlink(.*)',http://shanghai.anjuke.com/friendlink,安居客友链,
^/ask(/?)$,http://shanghai.anjuke.com/ask,问答首页,
"^/ask/vote/'
^/ask/vote/([0-9]+)/$
'^/ask/vote/([0-9]+)(.*)'",http://shanghai.anjuke.com/ask/vote/,问答火眼金睛,
^/ask/openlucky',http://user.anjuke.com/ask/openlucky,问答开宝箱页面,
^/ask/openlucky/',http://user.anjuke.com/ask/openlucky,问答开宝箱,
'^/ask/signday',http://user.anjuke.com/ask/signday,签到活动页面,
'^/ask/signday/',http://user.anjuke.com/ask/signday,签到活动,
'^/ask/signdaysuccess',http://user.anjuke.com/ask/signdaysuccess/,签到活动,
 '^/ask/signdaysuccess/',http://user.anjuke.com/ask/signdaysuccess/,签到活动,
"'^/ask/view/([0-9]{1,11})/$'",http://www.anjuke.com/ask/view/3100665,问答单页,
" '^/ask/view/([0-9]{1,11})(.*)'",http://www.anjuke.com/ask/view/3100665,问答单页,
'^/ask/view/',http://www.anjuke.com/ask/view/3100665,问答单页,
 '^/ask/view',http://www.anjuke.com/ask/view/3100665,问答单页,
'^/ask/new/',http://user.anjuke.com/ask/new/W0QQquestion_titleZQQfrommoduleZaskhome,问题提问页,
'^/askexpert/(sh|bj)/$',http://user.anjuke.com/askexpert/bj,问答我问专家活动,
'^/askexpert/(sh|bj)(.*)',http://user.anjuke.com/askexpert/bj,问答我问专家活动,
 '^/askexpert/',http://user.anjuke.com/askexpert/bj,问答我问专家活动,
'^/ask/d(.*)-(t|n)(.*)',http://shanghai.anjuke.com/ask/d2,问答分类页,
 '^/ask/d(.*)',http://shanghai.anjuke.com/ask/d2,问答分类页,
^/askzt([0-9]+)$',http://shenzhen.anjuke.com/askzt2215,问答专题页,
^/ask/huati/$',http://shanghai.anjuke.com/ask/huati/,问答专题列表页,
 '^/ask/huati/p([0-9]+)/$',http://shanghai.anjuke.com/ask/huati/p1,问答专题列表页,
'^/ask/(.*)',http://shanghai.anjuke.com/ask/Szaza,问答列表页面,
 '^/newhome/$',http://shanghai.anjuke.com/,安居客首页,
'^/default.*',http://shanghai.anjuke.com/,安居客首页,
'^/(sale|sales|list)(/?)$',http://shanghai.anjuke.com/sale,二手房列表页,
'^/(sale|sales|list)/(.*)$',http://shanghai.anjuke.com/sale,二手房列表页,
'^/favorite/all/(.*)$',http://user.anjuke.com/favorite/all/,用户中心所有房源收藏页面,
 '^/favorite/xinfang/(.*)$',http://user.anjuke.com/favorite/xinfang/W0QQCurNavZ2,用户中心新房收藏页面,
 '^/favorite/fangyuan$',http://user.anjuke.com/favorite/fangyuan,用户中心二手房收藏页面,
